Title,URL,Date,Content
Vietnam confirms first H5N8 avian flu outbreak,https://www.agri-pulse.com/articles/16129-vietnam-confirms-first-h5n8-avian-flu-outbreak&sa=U&ved=2ahUKEwjsj-S-q_DxAhVWGDQIHZv4CykQxfQBMAB6BAgGEAE&usg=AOvVaw09X7t1KG1eaFt6-EaIAuyW,2021-07-05,Vietnam has confirmed the first outbreak of the H5N8 highly pathogenic avian influenza virus in its northern province of Quang Ninh.
Vietnam reports first H5N8 avian flu outbreak in poultry,https://www.reuters.com/world/asia-pacific/vietnam-reports-first-h5n8-avian-flu-outbreak-poultry-2021-07-02/&sa=U&ved=2ahUKEwjsj-S-q_DxAhVWGDQIHZv4CykQxfQBMAF6BAgIEAE&usg=AOvVaw3ZCF2-xoR9w9O15VpBwtmO,2021-07-05,"Vietnam reports first H5N8 avian flu outbreak in poultry ... HANOI, July 2 (Reuters) - Vietnam on Friday confirmed its first outbreak of H5N8..."
"An ideal public health model? Vietnam’s state-led, preventative, low-cost response to COVID-19",https://www.brookings.edu/blog/order-from-chaos/2021/06/29/an-ideal-public-health-model-vietnams-state-led-preventative-low-cost-response-to-covid-19/&sa=U&ved=2ahUKEwjsj-S-q_DxAhVWGDQIHZv4CykQxfQBMAJ6BAgHEAE&usg=AOvVaw2nvXkp4IC_g4QKPjUNYSS2,2021-06-28,"While Vietnam is experiencing its largest surge of cases yet, ... and avian flu, in addition to an extensive network of centers for disease..."
"News Scan for Jul 06, 2021",https://www.cidrap.umn.edu/news-perspective/2021/07/news-scan-jul-06-2021&sa=U&ved=2ahUKEwjsj-S-q_DxAhVWGDQIHZv4CykQxfQBMAN6BAgJEAE&usg=AOvVaw2Swv1hDitIICriDCNr2nGy,2021-07-05,"Vietnam recently reported its first highly pathogenic H5N8 avian flu ... In February, Russia reported the first human cases involving H5N8,..."
Ghana culls thousands of chickens amid avian flu outbreak,https://arynews.tv/ghana-culls-chickens-avian-flu/&sa=U&ved=2ahUKEwjsj-S-q_DxAhVWGDQIHZv4CykQxfQBMAR6BAgFEAE&usg=AOvVaw2aRCy4lkyMTPaouD5wpYdo,2021-07-17,"Avian influenza virus occurs mainly in birds, is highly contagious among birds, and can be deadly, especially in domestic poultry. Since..."
'Sugar Mountain' novel written in 2013 prescient to COVID-19 ...,https://www.recorder.com/LT-Sugar-Mountain-novel-40465695&sa=U&ved=2ahUKEwjsj-S-q_DxAhVWGDQIHZv4CykQxfQBMAV6BAgEEAE&usg=AOvVaw1zR1AfgWE_LuqqumFd3F8e,2021-07-17,"... of Western Massachusetts in the wake of a lethal avian flu outbreak. ... He spoke with a college classmate who served in Vietnam who,..."
Vietnam records new wave of avian flu outbreaks in poultry,https://www.wattagnet.com/articles/42694-vietnam-records-new-wave-of-avian-flu-outbreaks-in-poultry&sa=U&ved=2ahUKEwjsj-S-q_DxAhVWGDQIHZv4CykQxfQBMAZ6BAgCEAE&usg=AOvVaw0oBUNI3CeGVMpbhUoqKPvs,2021-05-24,Vietnam's veterinary authority has retrospectively registered 40 outbreaks of highly pathogenic avian influenza (HPAI) in poultry flocks that...
China's Sichuan reports human case of H5N6 bird flu - state media,https://www.yahoo.com/news/chinas-sichuan-reports-human-case-013921527.html&sa=U&ved=2ahUKEwjsj-S-q_DxAhVWGDQIHZv4CykQxfQBMAd6BAgBEAE&usg=AOvVaw1PxFthxvKleyz4kv9WeQC2,2021-07-15,"Vietnam has managed to keep coronavirus cases relatively low due to targeted mass testing and strict contact tracing, border controls and..."
Vietnam culls 100000 poultry as avian influenza outbreaks spread,https://www.thepoultrysite.com/news/2021/02/vietnam-culls-100-000-poultry-as-avian-influenza-outbreaks-spread&sa=U&ved=2ahUKEwjsj-S-q_DxAhVWGDQIHZv4CykQxfQBMAh6BAgAEAE&usg=AOvVaw2tBE5nJZj8sRrzNkZ5Q1S7,2021-03-01,"Vietnam culls 100,000 poultry as avian influenza outbreaks spread ... Vietnam has culled more than 100,000 poultry in 2021 to contain the spread..."
"Vietnam culls 100,000 poultry as bird flu outbreaks spread",https://www.thehindu.com/news/international/vietnam-culls-100000-poultry-as-bird-flu-outbreaks-spread/article33780121.ece&sa=U&ved=2ahUKEwjsj-S-q_DxAhVWGDQIHZv4CykQxfQBMAl6BAgDEAE&usg=AOvVaw1F425-zzgKcu9CCilIkXP4,2021-03-01,"The country has reported outbreaks of the highly pathogenic H5N1 and H5N6 bird flu strains in 14 provinces, the government said in a statement..."
Hong Kong suspends poultry imports from regions of Germany ...,https://www.thepoultrysite.com/news/2021/06/hong-kong-suspends-poultry-imports-from-regions-of-germany-lithuania-vietnam-and-south-africa-on-bird-flu-fears&sa=U&ved=2ahUKEwip4vW-q_DxAhWhFjQIHT0fCPE4ChDF9AEwAHoECAQQAQ&usg=AOvVaw0H4vfscgvjejexW-ks0mW9,2021-06-21,"... of Germany, Lithuania, Vietnam and South Africa on bird flu fears ... H5N1 avian influenza in Ninh Thuan Province in Vietnam, the CFS..."
