Title,URL,Date,Content
Quảng Ninh phát hiện chủng cúm gia cầm lần đầu có tại Việt Nam,https://tuoitre.vn/quang-ninh-phat-hien-chung-cum-gia-cam-lan-dau-co-tai-viet-nam-20210702175823362.htm&sa=U&ved=2ahUKEwj_8IPNq_DxAhUVHjQIHVOgBwcQxfQBMAB6BAgDEAE&usg=AOvVaw3ik6b_PJ4dslRMo67w0kcB,2021-07-05,"Ngay sau đó, Trung tâm Dịch vụ kỹ thuật nông nghiệp TP Hạ Long đã tổ chức lấy mẫu gửi đi xét nghiệm và có kết quả như trên. Đáng chú ý, chủng..."
Quảng Ninh xuất hiện cúm gia cầm H5N8,https://vnexpress.net/quang-ninh-xuat-hien-cum-gia-cam-h5n8-4303624.html&sa=U&ved=2ahUKEwj_8IPNq_DxAhUVHjQIHVOgBwcQxfQBMAF6BAgIEAE&usg=AOvVaw0lfPmz1eh8bIsHdkaqqKHJ,2021-07-05,"Ổ dịch cúm gia cầm được ghi nhận tại một trại gà ở TP Hạ Long với 3 mẫu dương tính với virus A/H5N8. Tối 2/7, ông Trần Xuân Đông,..."
Lần đầu tiên phát hiện chủng cúm gia cầm A/H5N8 tại Việt Nam,https://vov.vn/xa-hoi/tin-24h/lan-dau-tien-phat-hien-chung-cum-gia-cam-ah5n8-tai-viet-nam-870861.vov&sa=U&ved=2ahUKEwj_8IPNq_DxAhUVHjQIHVOgBwcQxfQBMAJ6BAgHEAE&usg=AOvVaw1ODJiMGd113VPj8zAFeSSb,2021-07-05,Trung tâm Dịch vụ kỹ thuật nông nghiệp thành phố Hạ Long đã lấy 3 mẫu xét nghiệm cho kết quả dương tính với virus cúm gia cầm A/H5N8.
"3 tỉnh có cúm gia cầm A/H5N8 thể độc lực cao, đã lây sang người tại Nga",https://thanhnien.vn/tai-chinh-kinh-doanh/3-tinh-co-cum-gia-cam-ah5n8-the-doc-luc-cao-da-lay-sang-nguoi-tai-nga-1409728.html&sa=U&ved=2ahUKEwj_8IPNq_DxAhUVHjQIHVOgBwcQxfQBMAN6BAgJEAE&usg=AOvVaw3N6zH_n0CmyIHK4Yzls13O,2021-07-05,"Theo Bộ NN-PNT cho biết, từ đầu tháng 6 đến nay, chủng virus cúm gia cầm A/H5N8 được phát hiện tại 3 tỉnh gồm: 1 ổ dịch tại Hòa Bình (1hộ chăn..."
"Nghệ An ra công điện khẩn phòng, chống chủng virus cúm gia cầm ...",https://baonghean.vn/nghe-an-ra-cong-dien-khan-phong-chong-chung-virus-cum-gia-cam-nguy-hiem-290605.html&sa=U&ved=2ahUKEwj_8IPNq_DxAhUVHjQIHVOgBwcQxfQBMAR6BAgBEAE&usg=AOvVaw34ZBNaC5zsTMhuJzruQecQ,2021-07-15,"(Baonghean.vn) - Chủng cúm gia cầm A/H5N8 từng lây sang người ở Nga ... Nhận định trong thời gian tới, nguy cơ dịch CGC A/H5N8 xảy ra trên..."
Tăng cường công tác tiêm phòng và phòng chống dịch bệnh cho gia ...,https://www.yenbai.gov.vn/noidung/tintuc/Pages/chi-tiet-tin-tuc.aspx%3FItemID%3D4236%26l%3DTinSoNganhDiaphuong&sa=U&ved=2ahUKEwj_8IPNq_DxAhUVHjQIHVOgBwcQxfQBMAV6BAgEEAE&usg=AOvVaw1rFzOpHbGGDcMsYxG1RdQw,,"Theo báo cáo của Chi cục Chăn nuôi và Thú y, từ đầu năm 2021, dịch bệnh cúm gia cầm H5N6 đã xảy ra tại thành phố Yên Bái và huyện Trấn Yên..."
Hòa Bình: Tiêu hủy đàn gà hơn 5.000 con mà không xác định được ...,https://danviet.vn/hoa-binh-tieu-huy-dan-ga-hon-5000-con-ma-khong-xac-dinh-duoc-nguon-lay-dich-cum-gia-cam-a-h5n8-o-dau-20210709183233923.htm&sa=U&ved=2ahUKEwj_8IPNq_DxAhUVHjQIHVOgBwcQxfQBMAZ6BAgAEAE&usg=AOvVaw3-TOWzTY9zVc38GrANXWQz,2021-07-12,"Theo Bộ NNPTNT, từ đầu tháng 6 đến nay, chủng virus cúm gia cầm A/H5N8 được phát hiện tại 3 tỉnh gồm: 1 ổ dịch tại Hòa Bình (1 hộ chăn nuôi..."
Quảng Nam quyết tâm chặn virus cúm gia cầm A/H5N8 xâm nhập,http://vietnamnet.vn/vn/goc-nhin/quang-nam-quyet-tam-chan-virus-cum-gia-cam-a-h5n8-xam-nhap-754988.html&sa=U&ved=2ahUKEwj_8IPNq_DxAhUVHjQIHVOgBwcQxfQBMAd6BAgFEAE&usg=AOvVaw0hDJJk-OEKlbhhSmQLpw15,2021-07-16,"Trước nguy cơ xâm nhiễm dịch cúm gia cầm độc lực cao A/H5N8, UBND tỉnh Quảng Nam đã ban hành Công văn 4179 ngày 8/7, yêu cầu UBND huyện,..."
Cúm gia cầm độc lực cao A/H5N8 xuất hiện tại Việt Nam,https://kinhtedothi.vn/ngan-chan-nguy-co-bung-phat-cum-gia-cam-doc-luc-cao-ah5n8-426891.html&sa=U&ved=2ahUKEwj_8IPNq_DxAhUVHjQIHVOgBwcQxfQBMAh6BAgGEAE&usg=AOvVaw0HUeDKsJJsrX-NAkqhK8Df,2021-07-13,"Hiện, các địa phương cũng đã tổ chức tiêm phòng bao vây ổ dịch, sử dụng các loại vaccine cúm gia cầm đang được phép lưu hành và có hiệu quả..."
Cúm gia cầm H5N8 sẽ là đại dịch kế tiếp?,https://thanhnien.vn/video/the-gioi/cum-gia-cam-h5n8-se-la-dai-dich-ke-tiep-163057v.html&sa=U&ved=2ahUKEwj_8IPNq_DxAhUVHjQIHVOgBwcQxfQBMAl6BAgCEAE&usg=AOvVaw14CPhAEtk6I2OakF4MmVeX,2021-06-28,"Cúm gia cầm là một bệnh truyền nhiễm do các chủng virus cúm gây ra. Chúng có thể tấn công các loài chim, nhưng cũng có thể lây nhiễm sang người."
