Title,URL,Date,Content
Trung Quốc ghi nhận ca cúm gia cầm H5N6 ở người,https://thanhnien.vn/the-gioi/trung-quoc-ghi-nhan-ca-cum-gia-cam-h5n6-o-nguoi-1415089.html,2021-07-16 07:00:00,"
Bệnh nhân là người đàn ông 55 tuổi, đã được đưa vào bệnh viện, và giới chức đã cho tiêu hủy các đàn gia cầm trong khu vực.

Giới chuyên gia cho rằng đây là trường hợp lây nhiễm không thường xuyên và “nguy cơ dẫn tới dịch bệnh là vô cùng thấp”, theo CCTV. Biến thể H5N6 được phát hiện lần đầu tiên vào năm 2014 và ca tử vong đầu tiên trên thế giới vì biến thể này được cho là xuất hiện tại Tứ Xuyên cùng năm.









Cúm gia cầm H5N8 sẽ là đại dịch kế tiếp?









Cúm gia cầm là một bệnh truyền nhiễm do các chủng vi rút cúm gây ra. Chúng có thể tấn công các loài chim, nhưng cũng có thể lây nhiễm sang người. Sự lây nhiễm xảy ra khi con người tiếp xúc gần với động vật bị nhiễm.




"
"3 tỉnh có cúm gia cầm A/H5N8 thể độc lực cao, đã lây sang người tại Nga",https://thanhnien.vn/tai-chinh-kinh-doanh/3-tinh-co-cum-gia-cam-ah5n8-the-doc-luc-cao-da-lay-sang-nguoi-tai-nga-1409728.html,2021-07-06 15:21:00,"
Ngày 6.7, thông tin từ Bộ NN-PTNT cho biết, Bộ này vừa có công điện khẩn gửi các địa phương triển khai các biện pháp kiểm soát phòng, chống bệnh cúm gia cầm A/H5N8 và các chủng virus cúm gia cầm thể độc lực cao lây lan diện rộng.
Theo Bộ NN-PNT cho biết, từ đầu tháng 6 đến nay, chủng virus cúm gia cầm A/H5N8 được phát hiện tại 3 tỉnh gồm: 1 ổ dịch tại Hòa Bình (1hộ chăn nuôi thuộc xã Hữu Lợi, H.Yên Thủy); 1 ổ dịch tại Cao Bằng (1 hộ tại P.Ngọc Xuân, TP.Cao Bằng; và 9 mẫu gộp lấy tại các chợ buôn bán gia cầm sống trên địa bàn tỉnh Cao Bằng; 1 ổ dịch tại Quảng Ninh (1 hộ chăn nuôi tại xã Vũ Oai, TP.Hạ Long).
Đây là lần đầu tiên cúm gia cầm A/H5N8 được ghi nhận tại Việt Nam, chủng virus này có động lực cao và tốc độ lây lan nhanh. 
Virus cúm A/H5N8 được phát hiện từ gia cầm được chăn thả trên khu vực rộng, đặc biệt được phát hiện từ giám sát chủ động tại chợ buôn bán gia cầm, nơi việc giết mổ, buôn bán gia cầm diễn ra thường xuyên, điều kiện thú y không đảm bảo, nên việc truy xuất gia cầm mắc bệnh để tiêu hủy gặp nhiều khó khăn. Các hoạt động giao thông buôn bán, vận chuyển gia cầm tăng cao… Bộ NN-PTNT nhận định, trong thời gian tới, nguy cơ cao cúm gia cầm A/H5N8 lây lan trên diện rộng.
Để chủ động kiểm soát và ngăn chặn dịch cúm gia cầm A/H5N8 và chủng virus cúm gia cầm có độc lực cao khác, hạn chế thấp nhất virus cúm gia cầm lây nhiễm và gây tử vong cho con người, Bộ NN-PTNT đề nghị các địa phương triển khai quyết liệt, đồng bộ các giải pháp phòng, chống dịch theo quy định của luật Thú y.
Đối với các địa phương có ổ dịch cúm gia cầm A/H5N8 chưa qua 21 ngày hoặc phát hiện gia cầm dương tính với virus này, cần  xử lý tiêu hủy, công bố dịch; tổ chức điều tra, xác định nguyên nhân, nguồn lây nhiễm để xử lý kịp thời. Các địa phương chưa phát hiện dịch cần chủ động rà soát, tiêm phòng cho đàn gia cầm, với tỉ lệ tối thiểu đạt 80%.
Bên cạnh đó, Bộ NN-PTNT đề nghị các địa phương hướng dẫn chủ chăn nuôi gia cầm áp dụng nghiêm các biện pháp phòng dịch; thường xuyên khử độc chuồng trại, khu vực chăn nuôi, tiêm phòng đầy đủ cho đàn gia cầm.
Đồng thời, đề nghị các địa phương chỉ đạo cơ quan thú y, chính quyền địa phương kiểm soát chặt chẽ việc vận chuyển, buôn bán gia cầm trên địa bàn; không để người dân tham gia vào hoạt động vận chuyển, buôn bán lậu gia cầm, sản phẩm gia cầm trên khu vực biên giới.
Cơ quan thú y các địa phương chủ động lấy mẫu gia cầm tại các khu vực có nguy cơ cao gửi về phòng xét nghiệm thuộc Cục Thú y để xét nghiệm, xác đinh nguyên nhân gây bệnh dịch để kịp thời cảnh báo.







Chưa có bằng chứng cúm A/H5N8 lây từ người sang người
Tổ chức Thú y thế giới (OIE) và Tổ chức Lương thực và nông nghiệp của Liên hiệp quốc (FAO) cho biết, từ đầu năm 2014 đến nay, chủng virus cúm gia cầm thể độc lực cao A/H5N8 đã xuất hiện và gây bệnh trên gia cầm từ năm 2014. Đến tháng 6 năm nay, 64 quốc gia, vùng lãnh thổ báo cáo phát hiện chủng virus này. 
Đặc biệt, từ đầu năm đến nay, thế giới ghi nhận 2.757 ổ dịch cúm A/H5N8, chiếm 70% trong tổng số các ổ dịch cúm gia cầm do các chủng virus khác nhau gây ra tại hàng chục quốc gia, trong đó có các quốc gia chung biên giới, gần Việt Nam.
Đặc biệt, trong tháng 2 năm nay, Nga ghi nhận 7 người nhiễm virus cúm A/H5N8 với các triệu chứng nhẹ. Theo Tổ chức Y tế thế giới, đến nay chưa có bằng chứng về virus cúm gia cầm A/H5N8 lây từ người sang người.











"
Cúm gia cầm H5N8 sẽ là đại dịch kế tiếp?,https://thanhnien.vn/video/the-gioi/cum-gia-cam-h5n8-se-la-dai-dich-ke-tiep-163057v.html,2021-06-27 08:00:00,"
Các chuyên gia đã viết một bài báo trên tạp chí để biện luận về tiên lượng của họ liên quan sự lây nhiễm của virus H5N8 từ 7 công nhân trong một trang trại ở Nga. 
Trong bài viết, 2 tác giả nói rằng: ""Điều cấp thiết là không được bỏ qua sự lây lan toàn cầu và nguy cơ tiềm ẩn của virus H5N8 đối với gia cầm, chim hoang dã và sức khỏe cộng đồng toàn cầu"". 
Ông Gao Fu là tổng giám đốc của Trung tâm kiểm soát và phòng ngừa dịch bệnh Trung Quốc. Còn Shi Weifeng là giám đốc Phòng thí nghiệm tham khảo về các bệnh truyền nhiễm mới tại các trường Đại học Sơn Đông. 







Dịch cúm gia cầm H5N8 có thể sẽ là đại dịch tiếp theo gây nguy hiểm cho con người.

Chụp màn hình New Scientist









Cả 2 đều cho rằng loại cúm này có thể gây ra ""đại dịch thảm khốc"" cho con người. 
Chủ đề tranh luận nảy sinh vào ngày 21.2.2021, khi dịch cúm gia cầm đã có một bước nhảy vọt và lan đến con người. Đây là một điều chưa từng xảy ra kể từ thời điểm căn bệnh này xuất hiện ở châu Âu năm 2014 và chỉ ảnh hưởng đến các loài chim hoang dã và gia cầm. 
Vào ngày 19.5.2021, Bộ Nông nghiệp Trung Quốc xác nhận sự bùng phát của chủng cúm gia cầm H5N8 trên một đàn chim hoang dã trong Khu bảo tồn Thiên nhiên Nagqu, Tây Tạng. 
Một trường hợp tương tự cũng đã xảy ra ở Tây Ban Nha, nơi virus này được phát hiện trong xác của một con ngỗng ở Zamora. 

Tuy nhiên, việc 7 công nhân nông trại ở TP. Astrakhan (Nga) bị nhiễm cúm gia cầm H5N8 đã khiến giới khoa học hoài nghi. Nông trại này có hơn 900.000 con gà. 







Nga ghi nhận trường hợp người nhiễm cúm gia cầm H5N8 đầu tiên trên thế giới.

Chụp màn hình BBC









Mặc dù những nạn nhân không xuất hiện bất kỳ triệu chứng nào, các bác sĩ chuyên khoa vẫn chỉ ra rằng virus này có những đột biến ""đáng lo ngại"" trong một nghiên cứu mà họ thực hiện. 
Cúm gia cầm là một bệnh truyền nhiễm do các chủng virus cúm gây ra. Chúng có thể tấn công các loài chim, nhưng cũng có thể lây nhiễm sang người. Sự lây nhiễm xảy ra khi con người tiếp xúc gần với động vật bị nhiễm. 
Các triệu chứng thường thấy ở người là sốt, ho, đau họng, đau cơ, tiêu chảy, nôn mửa, thay đổi thần kinh hoặc mắc các bệnh hô hấp nghiêm trọng. 
Đối mặt với tình huống này, các chuyên gia khuyến nghị giám sát các trang trại của nhà máy và tăng cường các biện pháp an ninh để tránh lây nhiễm virus H5N8 cho con người. Họ cũng đưa ra lời khuyên là nên thay thế các trang trại công nghiệp lớn bằng trang trại gia đình nhỏ.






"
Nga ghi nhận trường hợp người nhiễm cúm gia cầm H5N8 đầu tiên trên thế giới,https://thanhnien.vn/the-gioi/nga-ghi-nhan-truong-hop-nguoi-nhiem-cum-gia-cam-h5n8-dau-tien-tren-the-gioi-1344334.html,2021-02-21 09:14:00,"
Đợt bùng phát virus H5N8 đã được ghi nhận ở Nga, châu Âu, Trung Quốc, Trung Đông và bắc Phi trong những tháng gần đây nhưng cho đến nay chỉ ở gia cầm. Các chủng khác như H5N1, H7N9 và H9N2 đã được xác định là có thể lây sang người.
Bà Anna Popova, người đứng đầu cơ quan giám sát sức khỏe người tiêu dùng Nga Rospotrebnadzor, ngày 20.2 cho biết Nga đã gửi báo cáo về trường hợp người bị nhiễm H5N8 cho Tổ chức Y tế Thế giới (WHO), theo Reuters.
“Chúng tôi đã cung cấp thông tin cho WHO vài ngày trước ngay sau khi hoàn toàn chắc chắn về kết quả xét nghiệm. Hiện vẫn chưa có dấu hiệu cho thấy H5N8 lây truyền từ người sang người"", bà Popova nói trong cuộc phỏng vấn với kênh truyền hình nhà nước Nga Rossiya 24. 
Bà Popova cho biết thêm 7 người lao động tại một nhà máy chăn nuôi gia cầm ở miền nam nước Nga đã bị nhiễm H5N8 trong đợt bùng phát dịch tại nhà máy này hồi tháng 12.2020 và hiện sức khỏe của họ ổn định. WHO cũng đã xác nhận đây là lần đầu tiên H5N8 lây nhiễm sang người.
Trong thông báo ngày 20.2, Viện Vector ở Siberia (Nga) tuyên bố sẽ phát triển vắc xin phòng H5N8.
Phần lớn trường hợp mắc cúm gia cầm ở người là do tiếp xúc trực tiếp với gia cầm sống hoặc chết bị nhiễm bệnh. Thực phẩm với thịt gia cầm được nấu chín đúng cách được xem là an toàn. 
Dịch cúm gia cầm thường khiến các nhà máy chăn nuôi gia cầm phải giết hết gia cầm để ngăn virus lây lan.




"
Cà Mau: Phát hiện ổ cúm gia cầm H5N1 ở H.Trần Văn Thời,https://thanhnien.vn/thoi-su/ca-mau-phat-hien-o-cum-gia-cam-h5n1-o-htran-van-thoi-1276006.html,2020-09-07 17:06:00,"
Ngày 7.9, tin từ UBND xã Khánh Bình Đông, H.Trần Văn Thời cho biết Chi cục Chăn nuôi và Thú y tỉnh này vừa có thông báo là đàn gia cầm của 1 hộ dân ở xã dương tính với virus cúm gia cầm.
Trước đó, Trạm Chăn nuôi và Thú y H. Trần Văn Thời tiếp nhận tin báo tại hộ ông Phạm Văn Tòng ở ấp Lung Bạ, xã Khánh Bình Đông có đàn gia cầm bị bệnh chết nhiều và chết nhanh (chết 63 con/85 con gia cầm) nên tiến hành lấy mẫu bệnh phẩm gửi xét nghiệm.
Theo Thông báo số 1825/TB-TYV7-TH của Chi cục Thú y vùng VII, mẫu bệnh phẩm trên gia cầm dương tính với virus cúm gia cầm Subtype H5N1.
Hiện Trạm Chăn nuôi và Thú y H.Trần Văn Thời phối hợp với UBND xã Khánh Bình Đông tiêu hủy số gia cầm còn lại, điều tra tổng đàn gia cầm xung quanh ổ dịch, giám sát phun xịt thuốc sát trùng vệ sinh, tiêu độc, khử trùng xung quanh khu vực ổ dịch. Đồng thời, tiến hành tiêm phòng bao vây ổ dịch cúm gia cầm đúng theo quy định để khống chế không cho dịch bệnh lây lan ra diện rộng.





"
Công bố dịch cúm gia cầm trên địa bàn Buôn Ma Thuột,https://thanhnien.vn/thoi-su/cong-bo-dich-cum-gia-cam-tren-dia-ban-buon-ma-thuot-1267094.html,2020-08-18 07:54:00,"
Ngày 17.8, UBND TP.Buôn Ma Thuột (Đắk Lắk) ban hành quyết định công bố dịch cúm gia cầm trên địa bàn thành phố.
Trong đó, vùng có dịch tại xã Ea Kao; vùng dịch bị uy hiếp gồm: xã Hòa Khánh, xã Hòa Thắng và P.Ea Tam; vùng đệm gồm: P.Khánh Xuân, P.Tân Thành và P.Tân Lập. UBND TP.Buôn Ma Thuột giao Ban Chỉ đạo phòng chống dịch bệnh động vật trên cạn của thành phố cùng các đơn vị chức năng, các xã, phường trên thực hiện quyết liệt các biện pháp phòng, chống dịch cúm gia cầm thể độc lực cao, không để lây lan.
Trước đó, ngày 10.8, đàn gà của hai hộ dân ở thôn 2 và 3, xã Ea Kao, xuất hiện tình trạng bỏ ăn, tiêu chảy, chết hàng loạt. Trạm chăn nuôi và thú y TP.Buôn Ma Thuột lấy mẫu gửi Chi cục Thú y vùng 5 xét nghiệm, kết quả dương tính với cúm gia cầm H5N6; sau đó tiêu hủy hơn 3.000 con gà.





"
"Bộ NN-PTNT 'điểm danh' 3 tỉnh chưa quyết liệt phòng, chống dịch cúm gia cầm",https://thanhnien.vn/thoi-su/bo-nn-ptnt-diem-danh-3-tinh-chua-quyet-liet-phong-chong-dich-cum-gia-cam-1191360.html,2020-03-05 16:05:00,"
Ngày 5.3, Bộ NN-PTNT cho biết, Thứ trưởng Bộ NN-PTNT Phùng Đức Tiến đã ký công văn gửi  Thủ tướng Chính phủ báo cáo về tình hình dịch bệnh gia súc, gia cầm và xin cho phép Bộ NN-PTNT phối hợp với Bộ Nội vụ tổ chức hội nghị để đánh giá hiệu quả hoạt động của hệ thống thú y sau sáp nhập trong công tác phòng, chống dịch bệnh gia súc, gia cầm.
Theo Bộ NN-PTNT, từ đầu năm 2020, đã ghi nhận nhiều ổ dịch trên đàn gia súc, gia cầm xảy ra ở nhiều địa phương, nguy cơ cao lây lan trên diện rộng nếu không được kiểm soát, quản lý chặt chẽ. 
Qua ghi nhận từ các dịch bệnh cúm gia cầm, dịch tả lợn châu Phi, dịch lở mồm long móng thì một trong những nguyên nhân khiến dịch bệnh được phát hiện chậm, thiếu sự kiểm soát chặt chẽ là hệ thống thú y cơ sở, nhất là thú y cấp thôn, xã, huyện nhiều nơi không còn, hoặc đã sáp nhập thành trung tâm dịch vụ nông nghiệp. Nhưng những đơn vị này không nắm được tình hình dịch bệnh, không có báo cáo kịp thời đến cơ quan chuyên môn cấp trên để được hướng dẫn, xử lý kịp thời. 
Bên cạnh đó, dịch bệnh trên gia súc, gia cầm lan rộng còn có nguyên nhân thiếu sự kiểm tra, đôn đốc, giám sát thực hiện, đặc biệt tại tuyến cơ sở. Chính quyền và cơ quan chuyên môn tại một số địa phương chưa chỉ đạo quyết liệt trong công tác phòng chống dịch. 
Trong công văn, Bộ NN-PTNT nêu đích danh 3 địa phương gồm: Quảng Ngãi, Quảng Nam và Thanh Hóa chưa chỉ đạo quyết liệt công tác phòng, chống dịch. Vừa qua, Bộ NN-PTNT đã phải gửi công văn đến chủ tịch UBND các tỉnh này để đôn đốc thực hiện quyết liệt công tác phòng, chống dịch bệnh, không được để dịch lây lan trên diện rộng.
Trước dự báo diễn biến dịch bệnh trên gia súc, gia cầm nguy cơ bùng phát, lây lan trên diện rộng, Bộ NN-PTNT đề xuất, kiến nghị Thủ tướng cho phép Bộ này phối hợp với Bộ Nội vụ và các đơn vị liên quan tổ chức hội thảo về hiệu quả của hoạt động thú y, sau khi các địa phương thực hiện sáp nhập, cắt giảm lực lượng cán bộ thú y cơ sở. 
Cũng từ hội nghị này, các bộ, ngành sẽ đề xuất các giải pháp kiện toàn, củng cố và tăng cường năng lực hệ thống cơ quan quản lý chuyên ngành thú y các cấp theo quy định của luật Thú y.
Cũng theo báo cáo của Bộ NN-PTNT, từ đầu năm đến nay, cả nước xảy ra 43 ổ dịch cúm gia cầm tại 13 tỉnh, thành phố. Trong đó có 38 ổ dịch cúm A/H5N6 và 5 ổ dịch cúm A/H5N. Đối với dịch tả lợn châu Phi cũng ghi nhận phát sinh thêm 24 ổ dịch mới khiến trên 19.400 con lợn bị mắc bệnh phải tiêu hủy.





"
Thiếu người tiêm vắc xin phòng cúm gia cầm,https://thanhnien.vn/thoi-su/thieu-nguoi-tiem-vac-xin-phong-cum-gia-cam-1188052.html,2020-02-27 08:29:00,"
Theo Chi cục Thú y tỉnh Thanh Hóa, cúm gia cầm A/H5N6 xuất hiện tại tỉnh này từ ngày 3.2. Đến ngày 26.2, Thanh Hóa đã có 14 xã ở các huyện: Nông Cống, Quảng Xương, Vĩnh Lộc, Như Xuân, Triệu Sơn, Hậu Lộc, Thiệu Hóa và thị xã Bỉm Sơn, thành phố Thanh Hóa có dịch, tổng cộng gần 60.000 con gia cầm bị tiêu hủy.
Ngày 26.2, ghi nhận tại xã Quảng Hợp (huyện Quảng Xương) cho thấy, địa phương này đã xuất hiện ổ dịch tại gia trại của ông Nguyễn Bá Túy (thôn Hợp Lực), 260 con ngan của ông Túy đã bị tiêu hủy. Tuy nhiên, theo quan sát của PV Thanh Niên, đường vào gia trại của ông Túy có 1 chốt kiểm dịch nhưng không có người trực, barie là 1 cây luồng bắc ngang qua đường nhưng được gác cao, phương tiện và người dân ra vào tự nhiên.
Theo UBND xã Quảng Hợp, xã đang triển khai gấp việc tiêm vắc xin cho hơn 50.000 con gia cầm bị cúm A/H5N6 trên địa bàn và phun hóa chất khử trùng. Ông Trần Văn Chinh, Phó chủ tịch UBND xã, cho hay địa phương này phải đi thuê người tiêm và phun hóa chất phòng dịch, nhưng lại không thuê được. 
“Đến hôm nay (26.2 - PV), toàn xã mới tiêm được khoảng 80% trong hơn 50.000 con gia cầm, dự tính khoảng 5 ngày nữa mới tiêm xong. Xã chỉ có 1 cán bộ thú y, chúng tôi phải thuê, tìm mãi mới được 2 người biết tiêm, nhưng họ cũng không làm thường xuyên. Họ cũng sợ dịch lây sang người. UBND xã phải điều động và trả công cho 1 phó chủ tịch hội nông dân và 1 nhân viên bảo vệ của UBND xã đi phun hóa chất”, ông Chinh nói.
Thực tế trên không chỉ diễn ra ở huyện Quảng Xương. Ông Lê Xuân Phùng, Chủ tịch UBND xã Trung Chính (H.Nông Cống), cho biết xã này có 1 hộ dân có gia cầm bị nhiễm bệnh, phải tiêu hủy hơn 3.600 con. Về việc tiêm phòng cho hơn 20.000 con gia cầm của toàn xã, ông Phùng cho hay: “Tuy xã chúng tôi đã tiêm xong vắc xin phòng cúm A/H5N6 cho toàn bộ đàn gia cầm trên địa bàn, nhưng cũng gặp khó khăn vì thiếu nhân lực. Phải đi tìm và thuê thêm 2 người, rồi cùng với cán bộ thú y của xã tiêm liên tục nhiều ngày mới xong”.
Ông Nguyễn Văn Thịnh, Trưởng phòng NN-PTNT H.Hà Trung, cho biết đến ngày 26.2, huyện này chưa phát hiện dịch cúm A/H5N6, nhưng tỷ lệ tiêm phòng cho hơn 580.000 con gia cầm mới đạt khoảng 38%, nguyên nhân cũng là do mỗi xã chỉ có 1 cán bộ thú y. Đáng chú ý, không chỉ có các huyện kể trên, tại Thanh Hóa còn có các huyện Hà Trung, Thạch Thành, Yên Định, Thiệu Hóa... có tỷ lệ tiêm phòng cho đàn gia cầm đạt thấp khiến nguy cơ dịch bệnh bùng phát cao.
Trao đổi với Thanh Niên, ông Đặng Văn Hiệp, Chi cục trưởng Chi cục Thú y tỉnh Thanh Hóa, cho biết đến ngày 26.2, toàn tỉnh mới tiêm phòng cúm A/H5N6 cho hơn 7,3 triệu con gia cầm, đạt hơn 63% tổng đàn gia cầm trên địa bàn. “Theo chỉ đạo của tỉnh, việc tiêm phòng phải xong trong tháng 2 nên chúng tôi đang cố gắng phối hợp với các địa phương để đôn đốc. Ngoài khó khăn về nhân lực, nguồn cung vắc xin cũng là vấn đề vì cả nước chỉ có 1 cơ sở cung ứng vắc xin phòng cúm A/H5N6, trong khi nhiều địa phương khác cũng xuất hiện dịch”, ông Hiệp nói.





"
34 ổ dịch cúm gia cầm từ đầu năm đến nay,https://thanhnien.vn/tai-chinh-kinh-doanh/34-o-dich-cum-gia-cam-tu-dau-nam-den-nay-1187553.html,2020-02-26 07:33:00,"

Ngày 25.2, Cục Thú y (Bộ NN-PTNT) cho biết từ đầu năm đến 24.2, trên cả nước đã ghi nhận có 34 ổ dịch cúm gia cầm, với 2 chủng vi rút A/H5N6 và A/H5N1 tại 10 tỉnh, thành phố; trên 100.000 con gia cầm đã chết, phải tiêu hủy.

Với dịch tả lợn châu Phi, thống kê đến 23.2, dịch đã phát sinh trở lại ở 24 xã, buộc phải tiêu hủy 17.133 con lợn. Cả nước cũng đã ghi nhận có 100 ổ dịch lở mồm, long móng trên các đàn trâu, bò, lợn tại 9 tỉnh, thành phố. Trong đó, vẫn còn 80 ổ dịch lở mồm, long móng chưa qua 28 ngày.
Cũng trong ngày 25.2, Thứ trưởng Bộ NN-PTNT Phùng Đức Tiến đã ký văn bản gửi UBND tỉnh Thanh Hóa đề nghị triển khai quyết liệt, đồng bộ các biện pháp ngăn chặn dịch cúm gia cầm, không để xảy ra dịch trùng dịch trong thời điểm dịch Covid-19 trên người cũng đang diễn biến phức tạp.
 Theo Bộ NN-PTNT, từ tháng 2 đến nay, dịch bệnh cúm gia cầm đã xảy ra tại 14 xã, 9 huyện tại tỉnh Thanh Hóa, buộc phải tiêu hủy gần 60.000 con gia cầm. Đáng lưu ý, dịch cúm gia cầm ở Thanh Hóa hiện vẫn diễn biến phức tạp và có nguy cơ lây lan rộng trên toàn tỉnh này, sẽ ảnh hưởng đến các địa phương khác.




"
Đề nghị xử lý cán bộ 'giấu dịch' cúm gia cầm ở Thanh Hoá,https://thanhnien.vn/thoi-su/de-nghi-xu-ly-can-bo-giau-dich-o-thanh-hoa-1187451.html,2020-02-25 18:45:00,"
Bộ NN-PTNT cho biết, chiều nay, 25.2, Thứ trưởng Bộ NN-PTNT Phùng Đức Tiến đã ký văn bản gửi UBND tỉnh Thanh Hoá đề nghị địa phương này có những giải pháp quyết liệt ngăn chặn dịch cúm gia cầm, không để xảy ra tình trạng “dịch chồng dịch” trong bối cảnh dịch Covid-19 trên người đang diễn biến phức tạp.
Theo Bộ NN-PTNT, qua kiểm tra thực tế tại Thanh Hoá và báo cáo của địa phương này, từ đầu tháng 2 đến nay, dịch bệnh cúm gia cầm xảy ra tại 14 xã, 9 huyện, buộc phải tiêu hủy gần 60.000 con gia cầm.
Nhưng đến nay, dịch bệnh đang diễn biến phức tạp, có nguy cơ lây lan rộng trên toàn địa bàn tỉnh Thanh Hóa và các địa phương khác, gây tổn thất lớn về kinh tế, phát triển chăn nuôi gia cầm; và làm tăng nguy cơ lây nhiễm, gây bệnh cúm gia cầm ở người.
Theo đó, Bộ NN-PTNT đề nghị Chủ tịch UBND tỉnh Thanh Hóa chỉ đạo các sở, ngành và chính quyền các cấp tập trung nguồn lực của địa phương, nghiêm túc triển khai quyết liệt, đồng bộ các giải pháp phòng, chống bệnh cúm; ngăn chặn, xử lý dứt điểm các ổ dịch, không để phát sinh ổ dịch mới; xử lý nghiêm các trường hợp vận chuyển gia cầm, sản phẩm gia cầm ra khỏi vùng có dịch theo đúng quy định.
 Cũng trong công văn, Bộ NN-PTNT đề nghị UBND tỉnh Thanh Hoá tổ chức kiểm điểm, xử lý nghiêm các tổ chức, chức cá nhân không thực hiện việc báo cáo, để dịch cúm gia cầm lây lan trên diện rộng.
Thông tin từ Cục Thú y (Bộ NN-PTNT) cho biết, thống kê từ đầu tháng 1 đến hôm qua, 24.2, cả nước đã ghi nhận xảy ra 34 ổ dịch cúm gia cầm A/H5N6 và A/H5N1 tại 10 tỉnh, thành phố, khiến tổng số gia cầm bị chết và buộc phải tiêu hủy lên tới trên 100.000 con.





"
