Title,URL,Date,Content
Quảng Ninh phát hiện chủng cúm gia cầm lần đầu có tại Việt Nam,https://tuoitre.vn/quang-ninh-phat-hien-chung-cum-gia-cam-lan-dau-co-tai-viet-nam-20210702175823362.htm,2021-07-02,"
Ngày 2-7, Chi cục Chăn nuôi và thú y tỉnh Quảng Ninh thông tin về việc đơn vị này vừa nhận được kết quả xét nghiệm của Chi cục Thú y vùng II về mẫu 3 gà chết của một hộ chăn nuôi ở xã Vũ Oai, TP Hạ Long, xác định cả 3 mẫu đều dương tính với virus cúm gia cầm A/H5N8.Trước đó từ ngày 29-6, trại gà của anh Nguyễn Huy Long ở thôn Bãi Cát, xã Vũ Oai, TP Hạ Long xuất hiện tình trạng gà chết rải rác. Riêng ngày 30-6, số gà chết lên đến 200 con. Ngay sau đó, Trung tâm Dịch vụ kỹ thuật nông nghiệp TP Hạ Long đã tổ chức lấy mẫu gửi đi xét nghiệm và có kết quả như trên.  Đáng chú ý, chủng cúm A/H5N8 là chủng cúm lần đầu xuất hiện tại Việt Nam được ghi nhận ở trại gà nói trên.  Ông Trần Xuân Đông - chi cục trưởng Chi cục Chăn nuôi và thú y tỉnh Quảng Ninh - đánh giá mức độ nguy hiểm của chủng cúm A/H5N8 không chỉ làm chết gia cầm mà còn có thể lây lan sang người, không để lại triệu chứng.  ""Nếu cơ thể người nhiễm bệnh có bệnh lý nền thì sẽ phát bệnh, nếu người khỏe, sức đề kháng tốt thì mầm bệnh không phát tác nhưng lưu trữ trong cơ thể và phát triển, biến đổi tiếp đời, có nguy cơ tạo ra những biến chủng bệnh nguy hiểm trên người, trong đó không loại trừ những bệnh có thể lây lan từ người sang người"", ông Đông cho hay.  Hiện các đơn vị chức năng của Quảng Ninh đang khẩn trương triển khai các biện pháp khoanh vùng, dập dịch tại ổ dịch thôn Bãi Cát, xã Vũ Oai, TP Hạ Long, đồng thời quyết liệt ngăn chặn nguy cơ lây lan dịch.Trước đó, trên thế giới cũng từng ghi nhận các ổ chủng cúm A/H5N8 tại một số nước. Cụ thể năm 2020 ghi nhận chủng cúm này tại nhiều trang trại nuôi gà của Nga, đồng thời cũng ghi nhận 7 người Nga dương tính với virus cúm gia cầm A/H5N8 do lây nhiễm từ gia cầm bị bệnh.   Cả nước có 10 ổ dịch cúm gia cầm A/H5N6 tại 5 địa phương TTO - Từ đầu năm đến nay, cả nước có 10 ổ dịch cúm gia cầm do chủng virus A/H5N6 gây ra, buộc phải tiêu hủy 43.202 con gia cầm tại 5 tỉnh, thành phố gồm Bắc Ninh, Hà Nội, Quảng Ninh, Thanh Hóa và Nghệ An. 
"
Trung Quốc ghi nhận ca nhiễm virus cúm gia cầm chủng H10N3 đầu tiên trên người,https://tuoitre.vn/trung-quoc-ghi-nhan-ca-nhiem-virus-cum-gia-cam-chung-h10n3-dau-tien-tren-nguoi-20210601171134192.htm,2021-06-01,"
Tiêm ngừa cúm cho gia cầm ở Trung Quốc - Ảnh: REUTERSHãng tin Reuters ngày 1-6 dẫn lời Ủy ban Y tế quốc gia Trung Quốc (NHC) cho biết người đàn ông này nhập viện hôm 28-5 do bị sốt cùng một số triệu chứng khác, và được chẩn đoán nhiễm virus cúm gia cầm chủng H10N3. NHC không nói rõ người này bị nhiễm virus như thế nào.Bệnh nhân này đã xuất viện và những người tiếp xúc gần với ông cũng không có dấu hiệu nhiễm virus.""Nguy cơ lây lan trên diện rộng là cực kỳ thấp. Đây chỉ là một sự lây nhiễm chéo loài tình cờ"" - NHC tuyên bố. H10N3 cũng được đánh giá là chủng virus yếu, ít khả năng gây tử vong hay bệnh nặng trên gia cầm.Dịch cúm gia cầm ở người tại Trung Quốc xảy ra gần nhất từ năm 2016 đến 2017 do virus H7N9. Chủng virus này lây nhiễm cho 1.668 người và cướp đi sinh mạng của 616 người kể từ năm 2013, theo Liên Hiệp Quốc.Sau đợt bùng phát dịch cúm gia cầm gần đây ở châu Phi và lục địa Âu - Á, Trung Quốc siết chặt giám sát các trang trại gia cầm, chợ và chim hoang dã.   Cúm gia cầm đe dọa Nhật, Hàn bị dạng cúm độc lực cao TTO - Tình hình dịch cúm gia cầm tại Hàn Quốc ở mức đáng báo động, khi số ca nhiễm cúm gia cầm độc lực cao tiếp tục tăng lên. Trong khi đó, cúm gia cầm chủng H5 đã xuất hiện ở địa phương thứ 10 tại Nhật. 
"
"Mới 5 tuần đã có 40 ổ dịch cúm gia cầm, nguy cơ lây sang người",https://tuoitre.vn/moi-5-tuan-da-co-40-o-dich-cum-gia-cam-nguy-co-lay-sang-nguoi-20210208130545978.htm,2021-02-08,"
Nguy cơ lây nhiễm cúm gia cầm sang người - Ảnh: KIM KHÁNHThủ tướng Chính phủ vừa ban hành công điện số 163/CĐ-TTg về việc tập trung triển khai quyết liệt, đồng bộ các giải pháp kiểm soát phòng, chống bệnh cúm gia cầm và các chủng virus cúm gia cầm lây sang người, đặc biệt trong bối cảnh từ đầu năm 2021 đến nay cả nước đã xảy ra 40 ổ dịch tại 14 tỉnh, thành phố và buộc phải tiêu hủy trên 100.000 con gia cầm. Do đó, nguy cơ dịch tiếp tục lây lan trên diện rộng là thường trực. Thủ tướng yêu cầu các bộ ngành và địa phương cần bố trí nguồn lực để triển khai quyết liệt các biện pháp phòng, chống bệnh cúm gia cầm theo kế hoạch. Trong đó có kinh phí để giám sát chặt chẽ dịch, sự lưu hành virus cúm A/H5N1, phát hiện sớm và xử lý triệt để ổ dịch, không để dịch bệnh lây lan diện rộng.Thực hiện tiêm vắc xin và  hướng dẫn cụ thể các biện pháp chăn nuôi an toàn sinh học, vệ sinh phòng dịch. Đặc biệt cần phòng, chống các chủng virus cúm gia cầm có khả năng lây sang người.Đẩy mạnh việc quản lý thị trường, ngăn ngừa nhập lậu gia cầm, sản phẩm gia cầm, xử lý nghiêm kinh doanh trái phép, không để hiện tượng buôn bán gia cầm và các sản phẩm gia cầm không được kiểm dịch theo quy định, không rõ nguồn gốc trên thị trường, đặc biệt tại các chợ đầu mối. Phát hiện và xử lý nghiêm các vụ việc vi phạm. Phát hiện sớm những trường hợp nghi nhiễm cúm A/H5N1 và các loại cúm gia cầm khác trên người, cách ly, khoanh vùng xử lý triệt để, không để dịch lây lan. Đảm bảo đủ cơ số trang bị y tế, thuốc và hóa chất thiết yếu phục vụ công tác phòng, chống dịch ở các tuyến; khuyến cáo người dân về các biện pháp phòng, chống dịch lây từ gia cầm sang người.Thủ tướng cũng yêu cầu kiểm soát và xử lý nghiêm các vụ nhập khẩu trái phép gia cầm và sản phẩm gia cầm, tuyên truyền cho nhân dân khu vực biên giới về sự nguy hiểm của bệnh và tác hại khi buôn bán, vận chuyển gia cầm không được kiểm dịch và không rõ nguồn gốc.   Long An xuất hiện dịch tả heo châu Phi và cúm gia cầm H5N1 TTO - Từ đầu tháng 11, Long An liên tiếp phát hiện dịch tả heo Châu Phi và cúm gia cầm H5N1 trên hai huyện Tân Trụ và Cần Đước. 
"
"Lo dịch bệnh tấn công gia súc, gia cầm",https://tuoitre.vn/lo-dich-benh-tan-cong-gia-suc-gia-cam-20201225085309174.htm,2020-12-25,"
Một ổ dịch cúm gia cầm tại huyện Cần Đước, Long An được phun thuốc tiêu độc, khử trùng- Ảnh: KIM KHÁNHTrong tháng 12-2020, tại Bến Tre đã tái phát dịch tả heo châu Phi với 2 ổ dịch ở huyện Mỏ Cày Nam và Bình Đại, 59 con heo thịt với trọng lượng khoảng 50-60kg/con bị xử lý. Ngay sau đó, Ban chỉ đạo phòng chống dịch bệnh động vật tỉnh Bến Tre đã tổ chức họp nhằm khẩn trương triển khai đồng bộ các giải pháp phòng chống dịch tả heo châu Phi. Đến thời điểm này, theo ông Trần Ngọc Tam - chủ tịch UBND tỉnh Bến Tre, địa phương này đã khống chế kịp thời các ổ dịch tả heo châu Phi, không để lây lan. Tuy nhiên, từ nay đến trước tết, các cơ quan chức năng địa phương sẽ thường xuyên kiểm tra, giám sát chặt các hộ nuôi, cơ sở giết mổ để kịp thời phát hiện và có hướng xử lý kịp thời.Từ giữa tháng 10-2020 đến nay, tại Long An đã xuất hiện 6 ổ dịch cúm gia cầm (ở các huyện Cần Đước, Tân Trụ và Châu Thành) với hơn 19.000 con gà, vịt bị tiêu hủy để ngăn dịch. Ngoài ra, 9 ổ dịch tả heo châu Phi (xuất hiện ở Bến Lức, Tân Trụ, Thủ Thừa, Thạnh Hóa, Châu Thành và Tân Hưng) với 167 con heo đã bị tiêu hủy, chưa kể 3 ổ dịch lở mồm long móng trên bò tại huyện Tân Trụ và Cần Đước.Theo bà Đinh Thị Phương Khanh - phó giám đốc Sở NN&PTNT tỉnh Long An, ngành nông nghiệp địa phương đang áp dụng nhiều biện pháp rà soát kỹ, nắm số lượng tổng đàn, phân loại đàn thuộc diện tiêm ngừa dịch và tuyên truyền người dân ý thức, chủ động tiêm phòng để bảo vệ vật nuôi của mình. Ngoài ra, sẽ triển khai tiêm phòng vùng dịch và vùng nguy cơ dịch trong thời gian ngắn, theo hình thức cuốn chiếu để tạo miễn dịch đồng loạt.Tại hội nghị Tập trung phòng chống dịch bệnh động vật được tổ chức mới đây, ông Nguyễn Văn Mẫn - giám đốc Sở NN&PTNT tỉnh Tiền Giang - đã đề nghị các huyện quan tâm đến công tác phòng chống dịch bệnh trên đàn vật nuôi, phối hợp với cơ quan thú y địa phương tổ chức kiểm tra, rà soát, quản lý chặt chẽ tổng đàn gia súc, gia cầm trên địa bàn.   Cúm gia cầm đe dọa Nhật, Hàn bị dạng cúm độc lực cao TTO - Tình hình dịch cúm gia cầm ở Hàn Quốc ở mức đáng báo động khi số ca nhiễm cúm gia cầm độc lực cao tiếp tục tăng lên. Trong khi đó cúm gia cầm chủng H5 đã xuất hiện ở địa phương thứ 10 tại Nhật. 
"
"Cúm gia cầm đe dọa Nhật, Hàn bị dạng cúm độc lực cao",https://tuoitre.vn/cum-gia-cam-de-doa-nhat-han-bi-dang-cum-doc-luc-cao-20201213165702793.htm,2020-12-13,"
Lực lượng chức năng chuẩn bị xử lý cúm gia cầm tại Higashikagawa (Nhật) - Ảnh: REUTERSTheo báo Mainichi, ngày 13-12, chính quyền tỉnh Shiga của Nhật Bản đã xác nhận cúm gia cầm xuất hiện tại một trang trại nuôi gà ở tỉnh, buộc nhà chức trách tiến hành tiêu hủy khoảng 11.000 con gà.Shiga là địa phương thứ 10 của Nhật Bản xuất hiện cúm gia cầm trong đợt bùng phát dịch năm nay.  Từ đầu tháng 11 đến nay, Nhật Bản đã phát hiện cúm gia cầm tại tỉnh Kagawa, Fukuoka, Hyogo, Miyazaki, Nara, Hiroshima, Wakayama, Oita và Okayama.  Theo chính quyền tỉnh Shiga, ngày 12-12, một trang trại nuôi gà ở thành phố Higashiomi đã báo cáo lên cơ quan chức năng địa phương về trường hợp 50 con gà chết không rõ nguyên nhân. Các kết quả xét nghiệm mẫu bệnh phẩm sau đó đã xác định số gà này nhiễm chủng cúm H5.  Cơ quan chức năng tỉnh ngay lập tức tiến hành phun khử trùng, cấm mọi hoạt động vận chuyển trứng và gà trong phạm vi 3km quanh trang trại này. Ngoài ra, chính quyền tỉnh thiết lập các trạm kiểm soát để theo dõi hoạt động vận chuyển bằng xe tải trong phạm vi bán kính 10km. Hiện có 6 trang trại nuôi khoảng 58.000 con gà nằm trong phạm vi bán kính 10km với trang trại này.  Ngày 13-12, Bộ Nông-lâm-ngư nghiệp Nhật Bản đã tổ chức cuộc họp thảo luận về các biện pháp ngăn chặn dịch cúm gia cầm. Giới chức Nhật Bản cam kết hỗ trợ chính quyền tỉnh Shiba ứng phó với đợt dịch bùng phát này.  Tiêu hủy gia cầm ở trang trại có nhiễm tại Mihara, tỉnh Hiroshima (Nhật) - Ảnh: REUTERSTrong khi đó, tình hình dịch cúm gia cầm tại Hàn Quốc vẫn ở mức đáng báo động khi số ca nhiễm cúm gia cầm độc lực cao ở nước này tiếp tục tăng lên, nâng tổng số ca nhiễm virus cúm gia cầm tại các trang trại trên cả nước lên con số 12 tính từ cuối tháng 11.  Ngày 13-12, Hàn Quốc xác nhận thêm hai ca nhiễm cúm gia cầm H5N8 độc lực cao tại một trang trại ở nước này, làm dấy lên lo ngại về khả năng lây lan dịch bệnh trên cả nước.Bộ Nông nghiệp, Lương thực và nông thôn Hàn Quốc cho biết virus cúm gia cầm H5N8 được tìm thấy trong các mẫu vật từ hai trang trại nuôi vịt ở khu vực Yeongam, cách thủ đô Seoul 384km về phía Nam. Đây là các ca nhiễm cúm gia cầm thứ 11 và thứ 12 ở nước này trong năm nay.Các nhà chức trách đã tiến hành tiêu hủy gia cầm trong bán kính 3km từ các trang trại phát hiện các ca nhiễm cúm gia cầm như một phần của các biện pháp phòng ngừa, đồng thời ban hành lệnh đóng cửa các trang trại gần đó trong 30 ngày.Theo hãng tin Reuters, ngày 12-12, Bộ Nông nghiệp, lương thực và nông thôn Hàn Quốc đã phát chỉ thị ngưng tạm thời (trong vòng 48 giờ) ở cấp độ quốc gia việc chăn nuôi và vận chuyển gia cầm nhằm ngăn chặn độ lây lan của cúm gia cầm độc lực cao.  Bộ này cho biết đã phát hiện thêm một trường hợp nghi nhiễm cúm gia cầm độc lực cao tại một trang trại nuôi 17.000 con vịt ở thành phố Jeongeup, cách thủ đô Seoul 222km về phía Nam. Hiện nhà chức trách Hàn Quốc đang tiến hành điều tra một trường hợp nghi nhiễm cúm gia cầm khác ở huyện Jangsong thuộc tỉnh South Jeolla.  Ca nhiễm mới nhất được phát hiện tại thành phố Naju, cách thủ đô Seoul 355km về phía Đông Nam vào ngày 10-12. Đây là ca nhiễm cúm gia cầm thứ ba tại tỉnh South Jeolla.  Cúm gia cầm độc lực cao rất dễ lây lan, có thể khiến gia cầm mắc bệnh và chết. Trước đó, Hàn Quốc phát hiện trường hợp nhiễm cúm gia cầm đầu tiên từ chim hoang dã trong vòng 32 tháng qua vào tháng 10-2020 tại Cheonan, cách thủ đô Seoul 92km về phía Nam.Cho rằng đất nước đang ở thời điểm quan trọng để ngăn chặn dịch cúm gia cầm lây lan ra cả nước, Thủ tướng Chung Sye Kyun yêu cầu cần điều tra kỹ lưỡng các trang trại có ca nhiễm và triển khai các biện pháp kịp thời nhằm ngăn chặn có thêm các ca nhiễm mới. Thủ tướng Hàn Quốc cũng chỉ thị cho các cơ quan chức năng tập trung vào các hoạt động khử trùng môi trường sống của chim hoang dã xung quanh các trang trại gia cầm.  Tính đến ngày 10-12, Hàn Quốc đã tiêu hủy hơn 4 triệu con gia cầm của các trang trại có dịch, trong đó 2,42 triệu con gà, 1,01 triệu con chim cút và 572.000 con vịt. Giới chức Hàn Quốc tiến hành tiêu hủy gia cầm trong vòng bán kính 3 km từ những trang trại có ca mắc bệnh.Theo số liệu của Bộ Nông nghiệp Hàn Quốc, cho đến nay có tổng số 23 trường hợp nhiễm bệnh liên quan tới chim hoang dã trên cả nước. Hiện giới chức Hàn Quốc đang tiến hành điều tra làm rõ hơn 10 trường hợp chim hoang dã nghi nhiễm bệnh.     Bé trai 7 tuổi Hong Kong nhiễm cúm gia cầm sau khi trở về từ Trung Quốc đại lục TTO - Tin tức xác thực về một bé trai 7 tuổi ở Hong Kong bị nhiễm cúm gia cầm H9 sau khi trở về từ Trung Quốc đại lục, gây thêm phiền muộn giữa bối cảnh đặc khu này đang vật lộn với virus corona chủng mới. 
"
"Đọc báo cùng bạn 11-11: Bão số 12 đổ bộ, cứu được dân, giảm thiệt hại",https://tuoitre.vn/doc-bao-cung-ban-11-11-bao-so-12-do-bo-cuu-duoc-dan-giam-thiet-hai-20201111034215742.htm,2020-11-11,"
Cơ quan chức năng huyện Vạn Ninh (Khánh Hòa) đã sơ tán toàn bộ người dân vùng ngập lũ đến nơi an toàn - Ảnh: TRUNG TÂN
"
Long An xuất hiện dịch tả heo châu Phi và cúm gia cầm H5N1,https://tuoitre.vn/long-an-xuat-hien-dich-ta-heo-chau-phi-va-cum-gia-cam-h5n1-20201110170130035.htm,2020-11-10,"
Tiêu hủy 12.000 con gà trong đàn bị nhiễm cúm H5N1 ở Cần Đước - Ảnh: KIM KHÁNHNgày 10-11, bà Đinh Thị Phương Khanh - phó giám đốc Sở Nông nghiệp tỉnh Long An - cho biết tỉnh này đã khoanh vùng và tiêu hủy hoàn toàn số heo trong đàn có con dương tính với dịch tả heo châu Phi ở huyện Tân Trụ.Trước đó từ cuối tháng 10 đến đầu tháng 11, hai hộ dân thuộc khu phố Bình Hòa, thị trấn Tân Trụ và ấp 3, xã Tân Bình trên địa bàn huyện Tân Trụ liên tục có heo chết và xét nghiệm cho ra mẫu kết quả dương tính với dịch tả heo châu Phi. Hai đàn heo tổng cộng hơn 40 con đã được tiêu hủy, đồng thời phun thuốc xử lý chuồng trại để tránh nguy cơ phát tán.  Cũng trong ngày hôm nay, Phòng Nông nghiệp huyện Cần Đước, Long An cũng đã tổ chức tiêu hủy 12.000 con gà thả vườn của một hộ gia đình tại ấp Bà Thoại, xã Tân Lân sau khi đàn gà chuẩn bị xuất chuồng này bị chết rải rác và kiểm tra cho ra kết quả dương tính với virus H5N1.  Theo bà Khanh, việc xuất hiện ổ cúm H5N1 trên địa bàn tỉnh Long An thời điểm này khá đáng lo ngại khi nhiều hộ chăn nuôi đang tái đàn, nhân rộng số lượng nuôi để chuẩn bị cho mùa tết. Do đó, ngành nông nghiệp địa phương đang cố gắng kiểm tra, tuyên truyền người chăn nuôi đặc biệt cẩn trọng trong quá trình gầy đàn gia cầm, đồng thời báo ngay cho ngành chức năng biết để có ngay phương án khoanh vùng, xử lý khi đàn gia cầm có biểu hiện nhiễm cúm H5N1.     Bình Phước xuất hiện 3 ổ dịch tả heo châu Phi, người chăn nuôi lo lắng TTO - Sau hơn 1 năm tạm yên, tại tỉnh Bình Phước đã tái xuất hiện 3 ổ dịch tả heo châu Phi khiến người chăn nuôi lo lắng. 
"
Nhật tiêu hủy 330.000 con gà sau khi phát hiện ổ dịch cúm gia cầm,https://tuoitre.vn/nhat-tieu-huy-330000-con-ga-sau-khi-phat-hien-o-dich-cum-gia-cam-20201106094002917.htm,2020-11-06,"
Nhóm công tác mặc đồ bảo hộ đi vào trang trại gà ở Motoyo, tỉnh Kagawa ngày 5-11 sau khi một ổ dịch cúm gia cầm được xác nhận đã bùng lên tại đây - Ảnh: KYODOTheo báo Mainichi, chính quyền tỉnh Kagawa đã lệnh cho các trang trại gà trong phạm vi bán kính 3km xung quanh ổ dịch mới phát hiện tại Mitoyo không được phép vận chuyển trứng và gia cầm đi nơi khác, đồng thời tiến hành kiểm tra xem còn ổ dịch cúm gia cầm nào tại những nơi khác không.Các trang trại trong phạm vi bán kính 10km so với ổ dịch mới cũng bị cấm không vận chuyển trứng và gia cầm ra khỏi khu vực. Trang trại được ghi nhận xảy ra ổ dịch cúm gia cầm đã có 3.800 con gà chết trong 4 ngày.Theo chính quyền tỉnh Kagawa, các biện pháp phòng ngừa có ảnh hưởng tới khoảng 4,62 triệu con gà tại 115 trang trại trong phạm vi bán kính 10km so với điểm dịch vừa phát hiện. Tuy nhiên tới sáng 5-11 vẫn chưa ghi nhận số gà bị chết hàng loạt tại vùng này.Việc tiêu hủy khoảng 330.000 con gà dự kiến mất 10 ngày. Lực lượng tự vệ mặt đất của quân đội Nhật Bản sẽ hỗ trợ chính quyền địa phương trong việc này.""Tôi không hiểu bệnh dịch đã bắt nguồn từ đâu vì chúng tôi đã thực hiện rất nghiêm túc các điều kiện đảm bảo vệ sinh cho vật nuôi"", chủ tịch của công ty quản lý trang trại vừa xảy ra ổ dịch cúm gia cầm cho biết. ""Tôi chỉ còn biết chờ đợi những chỉ dẫn tiếp theo của chính quyền"", người này tiếp.Các nông dân chăn nuôi gia cầm trong khu vực đều đang rất lo ngại sự việc có thể ảnh hưởng tới hoạt động kinh doanh của họ.Dịch cúm gia cầm gần nhất xảy ra tại Nhật Bản vào tháng 1-2008, cũng ở tỉnh Kagawa nằm trên đảo Shikoku.Tại Tokyo, Thủ tướng Yoshihide Suga chỉ đạo các thành viên nội các giữ liên lạc chặt chẽ với địa phương, áp dụng các biện pháp phòng ngừa và chia sẻ thông tin kịp thời, nhanh chóng, đồng thời yêu cầu các nông dân chăn nuôi gia hết sức cảnh giác với dịch bệnh.   Cúm gia cầm lây lan rộng, ban hành công điện khẩn phòng chống dịch TTO - Ngày 8-9, Bộ NN&PTNT ban hành công điện khẩn gửi chủ tịch UBND các tỉnh, thành phố trực thuộc trung ương về việc tập trung triển khai quyết liệt, đồng bộ các giải pháp kiểm soát, phòng chống bệnh cúm gia cầm lây lan diện rộng. 
"
"Cúm gia cầm lây lan rộng, ban hành công điện khẩn phòng chống dịch",https://tuoitre.vn/cum-gia-cam-lay-lan-rong-ban-hanh-cong-dien-khan-phong-chong-dich-20200908192610469.htm,2020-09-08,"
Chăn nuôi gà công nghiệp tại TP.HCM - Ảnh: N.TRÍTheo đó, Bộ NN&PTNT đề nghị chủ tịch UBND các tỉnh, thành phố trực thuộc trung ương tập trung chỉ đạo các sở, ngành triển khai quyết liệt, đồng bộ các giải pháp phòng chống dịch bệnh cúm gia cầm theo đúng quy định Luật thú y, chỉ đạo của Thủ tướng Chính phủ.Đối với địa phương có ổ dịch cúm gia cầm nhưng chưa qua 21 ngày, cần tập trung mọi nguồn lực để tổ chức kiểm soát, không để dịch bệnh cúm gia cầm tái phát, lây lan diện rộng.Rà soát, tổ chức tiêm vắc xin cúm gia cầm phòng bệnh cho đàn gia cầm, bảo đảm đạt tỉ lệ tối thiểu trên 80% tổng đàn có nguy cơ và thuộc đối tượng tiêm phòng; thường xuyên rà soát, tiêm phòng bổ sung cho đàn gia cầm mới phát sinh và chưa được tiêm phòng (lưu ý: hiện nay có đủ số lượng và chủng loại vắc xin cúm gia cầm bảo đảm chất lượng và phòng bệnh có hiệu quả).Hướng dẫn chủ chăn nuôi gia cầm tăng cường áp dụng nghiêm ngặt các biện pháp chăn nuôi an toàn sinh học; thường xuyên vệ sinh, sát trùng bằng vôi bột, hóa chất; tổ chức tháng tổng vệ sinh...Tổ chức triển khai chủ động giám sát, lấy mẫu xét nghiệm bệnh cúm gia cầm để kịp thời cảnh báo, xử lý, tiêu hủy đàn gia cầm mắc bệnh, nghi mắc bệnh, dương tính với virus cúm gia cầm, chủng A/H5N1 và A/H5N6.Chỉ đạo các lực lượng của Ban Chỉ đạo quốc gia chống buôn lậu, gian lận thương mại và hàng giả địa phương tổ chức ngăn chặn, kịp thời phát hiện và xử lý nghiêm các trường hợp vận chuyển trái phép động vật, sản phẩm động vật, đặc biệt đối với trường hợp vận chuyển trái phép gia cầm, sản phẩm gia cầm từ nước ngoài vào.Theo Bộ NN&PTNT, từ đầu năm 2020 đến nay có tổng cộng 67 ổ dịch cúm gia cầm xảy ra tại 67 xã, 45 huyện của 24 tỉnh, thành phố; số ổ dịch tăng gấp 2 lần, số gia cầm buộc tiêu hủy tăng gấp 3 lần. Hiện nay, cả nước có 10 ổ dịch phát sinh tại 9 tỉnh, thành phố có ổ dịch cúm gia cầm nhưng chưa qua 21 ngày.   Cả nước có 10 ổ dịch cúm gia cầm A/H5N6 tại 5 địa phương TTO - Từ đầu năm đến nay, cả nước có 10 ổ dịch cúm gia cầm do chủng virus A/H5N6 gây ra, buộc phải tiêu hủy 43.202 con gia cầm tại 5 tỉnh, thành phố gồm Bắc Ninh, Hà Nội, Quảng Ninh, Thanh Hóa và Nghệ An.  
"
Hơn 1.000 gia cầm ở Trà Vinh bị dịch cúm H5N1,https://tuoitre.vn/hon-1-000-gia-cam-o-tra-vinh-bi-dich-cum-h5n1-20200804175442489.htm,2020-08-04,"
Tối 4-8, nguồn tin của Tuổi Trẻ Online cho biết, Chi cục Chăn nuôi và thú y (Sở Nông nghiệp và phát triển nông thôn tỉnh Trà Vinh) đã có báo cáo về việc hơn 1.000 con gia cầm tại huyện Cầu Kè dương tính với bệnh cúm H5N1.Theo báo cáo này, bệnh cúm gia cầm vừa xảy ra tại hộ ông Giang Thanh Nhứt (ở xã Châu Điền, huyện Cầu Kè, tỉnh Trà Vinh) với tổng đàn 1.040 con gia cầm 2 tháng tuổi (trong đó có 1.000 con gà và 40 con vịt).Trước đó, ngày 27-7 sau khi đàn gia cầm của gia đình ông Nhứt phát bệnh và chết 200 con, ông đã khai báo với chính quyền địa phương.  Sau đó, Chi cục Chăn nuôi và thú y lấy mẫu bệnh phẩm gửi xét nghiệm. Theo kết quả xét nghiệm của Chi cục Thú y vùng VII, đàn gia cầm trên dương tính với bệnh cúm gia cầm H5N1.Ngay sau khi có kết quả xét nghiệm của Chi cục Thú y vùng VII, Sở Nông nghiệp và phát triển nông thôn tỉnh Trà Vinh đã chỉ đạo Chi cục Chăn nuôi và thú y phối hợp với địa phương tiêu hủy ngay đàn gia cầm mắc bệnh. Đồng thời hướng dẫn hộ chăn nuôi thu dọn phân rác, vệ sinh tiêu độc, khử trùng khu vực chuồng trại nuôi.Hiện Chi cục Chăn nuôi và thú y tỉnh Trà Vinh cũng đang phối hợp với các địa phương khẩn trương thực hiện những biện pháp chống dịch, quản lý tốt nguồn gia cầm tại chỗ và nơi khác đến theo đúng quy định nhằm hạn chế đến mức thấp nhất dịch bệnh lây lan trên diện rộng.UBND tỉnh Trà Vinh cũng đã chỉ đạo các địa phương phối hợp với Sở Nông nghiệp và phát triển nông thôn tỉnh Trà Vinh, các sở, ngành liên quan đẩy mạnh tuyên truyền về bệnh cúm gia cầm cho hộ chăn nuôi để nâng cao nhận thức về phòng bệnh cho đàn vật nuôi.Toàn tỉnh Trà Vinh hiện có tổng đàn gia cầm gần 8 triệu con. Trước đó, tháng 2-2020, tại Trà Vinh đã xảy ra 4 ổ dịch cúm A/H5N1 trên gia cầm tại các huyện Cầu Kè, Trà Cú và Cầu Ngang với tổng số gia cầm bị tiêu hủy hơn 7.000 con.   Đang tập trung phòng chống COVID-19, lại xuất hiện cúm A/H5N6 trên gia cầm TTO - Trong khi Thanh Hóa đang tập trung phòng chống dịch COVID-19 trên người thì tại huyện Nông Cống và Quảng Xương lại vừa xuất hiện dịch cúm A/H5N6 trên gia cầm, với hơn 23.000 con gà, vịt, ngan phải tiêu hủy.
"
